Advanced
max_subdivisions: 100000
,Error Goal 0.001
,Type,Integral,Result,Error,Time, AbsError
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000036,nan
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844906,-20.844906,0.000006,0.000405,0.015389
,badly behaved,ln(x) from 0 to 1-0.999998,-0.999998,0.000002,0.000107,0.000717
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000040,0.000000
,badly behaved,ln(1/x) from 0 to 10.999998,0.999998,0.000002,0.000103,0.000717
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058555,0.058555,0.000013,0.000062,0.000851
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610920,-1.610920,0.000056,0.000104,0.000932
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.997952,2.997952,0.000262,0.000383,0.002439
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303867,2.303867,0.000037,0.000159,0.002214
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000043,0.000000
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000034,0.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000037,0.000000
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000052,0.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000043,0.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000031,0.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000037,0.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000001,0.000037,0.000619
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000038,0.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.000000,8.000000,0.000000,0.000050,0.000000
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311737,0.311737,0.000001,0.000057,0.000881
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000040,0.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499996,0.499996,0.000010,0.000039,0.000796
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000045,nan
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000029,0.000000
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000030,nan
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000217,0.000025
,badly behaved,ln(x) from 0 to 1-1.000000,-1.000000,0.000000,0.000063,0.000000
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000023,0.000000
,badly behaved,ln(1/x) from 0 to 11.000000,1.000000,0.000000,0.000063,0.000000
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058554,0.058554,0.000014,0.000046,0.000885
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610246,-1.610246,0.000618,0.000086,0.001535
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.998216,2.998216,0.000001,0.000089,0.000138
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303904,2.303904,0.000000,0.000088,0.000001
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000031,0.000000
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000024,0.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000025,0.000000
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000026,0.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000029,0.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000022,0.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000025,0.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000001,0.000025,0.000619
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000027,0.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.000000,8.000000,0.000000,0.000034,0.000000
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311737,0.311737,0.000001,0.000041,0.000881
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000026,0.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499986,0.499986,0.000000,0.000027,0.000650
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000023,0.000000
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000023,0.000000
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000022,0.000000
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000214,0.000025
,badly behaved,ln(x) from 0 to 1-1.000000,-1.000000,0.000000,0.000065,0.000000
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000026,0.000000
,badly behaved,ln(1/x) from 0 to 11.000000,1.000000,0.000000,0.000069,0.000000
